Ações por Índice
Dados de 1 a 4 de 2022
Empresa;Código;Índices dos quais participa
GERDAU MET;ON   N1;GOAU3;IGCX,ITAG;
GERDAU MET;PN   N1;GOAU4;IBOV,IBRA,IBXL,IBXX,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,SMLL;
GETNET BR;UNT;GETT11;IBRA,IFNC,ITAG,SMLL;
GETNINJAS;ON   NM;NINJ3;IGCX,IGNM,ITAG;
GILEAD;DRN;GILD34;BDRX;
GLAXOSMITHKL;DRN;G1SK34;BDRX;
GOL;PN   N2;GOLL4;IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,ITAG,IVBX,SMLL;
GOLD FIELDS;DRN;G1FI34;BDRX;
GOLDMANSACHS;DRN;GSGI34;BDRX;
GOPRO;DRN;GPRO34;BDRX;
GPS;ON   NM;GGPS3;IBRA,IGCT,IGCX,IGNM,ITAG,MLCX;
GRAZZIOTIN;ON;CGRA3;ITAG;
GRAZZIOTIN;PN;CGRA4;ITAG;
GRENDENE;ON   NM;GRND3;IBRA,ICON,IGCT,IGCX,IGNM,INDX,ITAG,SMLL;
GRUPO MATEUS;ON   NM;GMAT3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,MLCX;
GRUPO NATURA;ON   NM;NTCO3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX;
GRUPO SBF;ON   NM;SBFG3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
GRUPO SOMA;ON   NM;SOMA3;IBOV,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL;
GUARARAPES;ON;GUAR3;IBRA,ICON,SMLL;
HAPVIDA;ON   NM;HAPV3;IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX;
HARLEY-DAVID;DRN;H1OG34;BDRX;
HBR REALTY;ON   NM;HBRE3;IGCX,IGNM,ITAG;
HCA HEALTHCA;DRN;H1CA34;BDRX;
HELBOR;ON   NM;HBOR3;IBRA,ICON,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL;
HIDROVIAS;ON   NM;HBSA3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
HOME DEPOT;DRN;HOME34;BDRX;
HONDA MO;DRN;HOND34;BDRX;
HORIZON THER;DRN;H1ZN34;BDRX;
HP COMPANY;DRN;HPQB34;BDRX;
HSBC HOLDING;DRN;H1SB34;BDRX;
HYPERA;ON   NM;HYPE3;IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ITAG,MLCX;
IGUATEMI S.A;UNT  N1;IGTI11;IBOV,IBRA,IBXX,IGCT,IGCX,IMOB,ITAG,SMLL;
